Unnamed: 0,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Reason
1106,1107,P01107,L,289.0500567,295.7018572,896,92.3318046,155,TWF
4670,4671,P04671,H,297.0020732,299.0820016,1423,38.79715837,232,OSF
6800,6801,P06801,H,299.3260611,298.9958972,2057,49.28635353,47,normal
207,208,P00208,M,293.844446,289.4781958,1495,66.30153671,304,TWF
1715,1716,P01716,L,278.1985069,287.059245,1197,88.84748586,371,HDF
1844,1845,P01845,L,280.3379333,286.9319192,1206,72.76912349,330,HDF
590,591,P00591,M,281.87013,298.0616103,1146,87.1031686,162,TWF
3874,3875,P03875,M,277.0651995,290.2369915,1276,80.46348829,330,PWF
4870,4871,P04871,L,298.5970789,291.9477364,2317,60.67704042,141,OSF
3373,3374,P03374,M,281.3726868,284.4512775,740,36.59607642,330,PWF
2572,2573,P02573,H,274.434714,289.8864158,1010,58.69813123,277,HDF
3457,3458,P03458,L,286.8144204,292.0836154,1293,77.29676246,336,PWF
3378,3379,P03379,L,280.1311579,291.3562678,1278,37.03885588,274,PWF
7949,7950,P07950,L,308.921819,307.5029639,2351,48.28191776,1,normal
4033,4034,P04034,M,285.8352859,303.0458839,1410,62.90102444,217,OSF
513,514,P00514,H,287.6106989,297.3658065,1205,67.00165422,192,TWF
3735,3736,P03736,L,275.4804014,281.8544972,1293,39.41623541,295,PWF
7644,7645,P07645,H,297.5259579,296.0377525,2279,12.00577836,1,normal
3953,3954,P03954,H,288.9455534,280.9442345,1217,59.27030722,249,PWF
6234,6235,P06235,L,275.5358248,283.2289242,1181,97.62655266,436,RNF
1311,1312,P01312,M,281.4389413,294.7743609,995,60.70708254,249,TWF
4580,4581,P04581,H,294.4992374,300.2462568,1523,45.02708418,155,OSF
7871,7872,P07872,L,309.6350373,310.352798,2791,31.89360006,47,normal
5459,5460,P05460,H,269.625091,284.2134187,584,76.78794756,254,RNF
5594,5595,P05595,H,274.988823,279.9096115,1061,80.2793298,263,RNF
3377,3378,P03378,L,276.3967886,285.3254843,1280,64.78580416,227,PWF
2829,2830,P02830,M,280.8622509,282.6876915,1014,35.69524744,330,PWF
7903,7904,P07904,M,295.8663332,306.5042343,2462,21.69803221,11,normal
1493,1494,P01494,H,276.9529196,286.0942221,856,56.9996021,234,HDF
2022,2023,P02023,M,283.9353613,286.863836,849,89.4178406,310,HDF
92,93,P00093,H,294.9390908,285.2587038,1208,61.03818783,305,TWF
1286,1287,P01287,H,286.6686162,285.2371172,1088,89.09925076,346,TWF
1288,1289,P01289,L,281.7565708,295.1985432,1204,58.2513017,203,TWF
7818,7819,P07819,L,299.5371078,299.048093,2258,43.63864323,18,normal
1929,1930,P01930,M,282.7076839,279.0517219,1293,69.53502881,213,HDF
6098,6099,P06099,L,265.872404,274.3534361,887,74.5907881,262,RNF
5450,5451,P05451,M,265.6704834,273.7608549,1261,71.80263877,275,RNF
3416,3417,P03417,H,286.1044841,287.043699,1198,77.20111266,302,PWF
6652,6653,P06653,M,276.383283,273.5341206,1287,87.20305435,296,RNF
3933,3934,P03934,M,287.6309103,286.1617191,1142,54.45637674,269,PWF
5836,5837,P05837,H,268.3187036,280.7816907,1252,108.7929775,349,RNF
816,817,P00817,H,287.9675272,291.1211453,1261,97.94295302,277,TWF
4040,4041,P04041,L,295.2518271,304.8072979,2215,28.9435748,198,OSF
1272,1273,P01273,M,288.407996,288.5081917,1196,97.69875027,261,TWF
1856,1857,P01857,M,273.5683185,287.098613,1245,76.13747834,368,HDF
1273,1274,P01274,H,281.5406762,291.6005168,1219,76.7441424,166,TWF
2541,2542,P02542,L,275.8213158,283.0051863,602,82.62880825,379,HDF
5551,5552,P05552,L,265.6576875,281.0384658,676,72.30813282,268,RNF
809,810,P00810,H,281.8006069,294.4958476,965,65.44447612,177,TWF
2162,2163,P02163,H,270.9229717,285.1410158,1312,89.76269325,292,HDF
